Year (year),Report Period (quarter),State Name (state_name),Age Group (age_group),Gender (gender),Unemployment Rate (value),State Code (state_code)
"2023","October-December","Delhi","15-29 Years","Female","5.2","07"
"2022","April-June","Odisha","All","Female","17.6","21"
"2020","January-March","Assam","15 Years And Above","Person","9.6","18"
"2023","April-June","Andhra Pradesh","15-29 Years","Female","28.7","28"
"2018","October-December","Jharkhand","15-29 Years","Person","28.9","20"
"2023","July-September","Rajasthan","All","Female","14.7","08"
"2019","January-March","Bihar","15-29 Years","Female","40.0","10"
"2019","October-December","Chhattisgarh","15 Years And Above","Person","9.7","22"
"2020","April-June","Jammu And Kashmir","15 Years And Above","Person","18.1","01"
"2019","January-March","Gujarat","All","Male","4.3","24"
"2023","October-December","Gujarat","All","Female","3.9","24"
"2023","July-September","Himachal Pradesh","15 Years And Above","Male","9.3","02"
"2019","January-March","Bihar","15 Years And Above","Male","10.3","10"
"2021","July-September","Jharkhand","15-29 Years","Female","31.3","20"
"2021","July-September","Gujarat","15 Years And Above","Male","4.6","24"
"2023","July-September","Tamil Nadu","All","Female","8.8","33"
"2020","October-December","Punjab","15 Years And Above","Person","9.2","03"
"2022","January-March","Rajasthan","15 Years And Above","Female","18.2","08"
"2023","January-March","Maharashtra","15-29 Years","Person","14.9","27"
"2021","July-September","Punjab","15 Years And Above","Female","12.1","03"
"2019","October-December","Delhi","15 Years And Above","Female","12.4","07"
"2019","January-March","Madhya Pradesh","All","Person","12.4","23"
"2020","July-September","Odisha","All","Female","13.8","21"
"2019","January-March","Uttarakhand","15-29 Years","Person","32.4","05"
"2020","October-December","Rajasthan","15-29 Years","Male","27.4","08"
"2019","January-March","All-India","15 Years And Above","Female","11.6","99"
"2020","January-March","Punjab","15-29 Years","Person","21.2","03"
"2021","July-September","Assam","All","Male","7.1","18"
"2022","July-September","West Bengal","15 Years And Above","Female","4.2","19"
"2023","January-March","Chhattisgarh","All","Male","9.9","22"
"2024","January-March","All-India","15-29 Years","Male","15.1","99"
"2019","July-September","Andhra Pradesh","All","Female","15.8","28"
"2023","April-June","Telangana","15-29 Years","Person","27.8","36"
"2023","January-March","Himachal Pradesh","All","Person","15.2","02"
"2019","October-December","Gujarat","15 Years And Above","Female","2.8","24"
"2018","October-December","Delhi","All","Person","11.8","07"
"2023","October-December","Jammu And Kashmir","15-29 Years","Male","19.9","01"
"2022","April-June","Tamil Nadu","15-29 Years","Male","22.2","33"
"2023","January-March","Delhi","All","Person","3.1","07"
"2022","October-December","Uttarakhand","15 Years And Above","Person","9.9","05"
"2023","January-March","Telangana","15-29 Years","Female","26.5","36"
"2021","January-March","Tamil Nadu","15 Years And Above","Male","8.9","33"
"2019","April-June","Gujarat","15 Years And Above","Person","3.0","24"
"2023","January-March","Himachal Pradesh","15-29 Years","Person","31.8","02"
"2018","October-December","Bihar","All","Male","13.3","10"
"2021","July-September","Punjab","15-29 Years","Female","34.2","03"
"2022","July-September","Kerala","15 Years And Above","Female","17.4","32"
"2023","January-March","West Bengal","15 Years And Above","Female","5.2","19"
"2018","October-December","Andhra Pradesh","15 Years And Above","Male","6.6","28"
"2023","April-June","Jammu And Kashmir","15-29 Years","Female","58.2","01"
"2022","July-September","All-India","15-29 Years","Person","18.5","99"
"2020","July-September","Jammu And Kashmir","15-29 Years","Person","41.8","01"
"2023","July-September","Karnataka","15 Years And Above","Male","4.2","29"
"2020","April-June","Chhattisgarh","15 Years And Above","Male","16.1","22"
"2019","April-June","Uttarakhand","15-29 Years","Male","19.7","05"
"2021","April-June","Kerala","15 Years And Above","Female","28.4","32"
"2019","October-December","Andhra Pradesh","All","Male","8.6","28"
