Year (year),Report Period (quarter),State Name (state_name),Age Group (age_group),Gender (gender),Unemployment Rate (value),State Code (state_code)
"2020","July-September","Madhya Pradesh","All","Person","14.9","23"
"2020","October-December","Punjab","15 Years And Above","Female","17.0","03"
"2023","July-September","Assam","15 Years And Above","Person","7.9","18"
"2020","July-September","Gujarat","15-29 Years","Male","11.0","24"
"2022","October-December","Madhya Pradesh","15 Years And Above","Person","7.6","23"
"2024","January-March","West Bengal","All","Female","6.1","19"
"2019","January-March","Uttarakhand","15 Years And Above","Male","10.5","05"
"2023","July-September","Tamil Nadu","15-29 Years","Male","14.2","33"
"2022","January-March","West Bengal","15-29 Years","Male","15.7","19"
"2019","July-September","All-India","All","Male","8.0","99"
"2024","January-March","Maharashtra","15-29 Years","Person","15.6","27"
"2019","July-September","Assam","15 Years And Above","Female","18.9","18"
"2020","April-June","Andhra Pradesh","15-29 Years","Female","40.2","28"
"2018","October-December","Haryana","15 Years And Above","Person","10.7","06"
"2020","October-December","Haryana","15 Years And Above","Female","11.6","06"
"2019","April-June","Kerala","15-29 Years","Female","57.6","32"
"2021","January-March","Odisha","15 Years And Above","Male","13.5","21"
"2021","October-December","Punjab","15 Years And Above","Female","9.8","03"
"2020","January-March","West Bengal","All","Person","7.0","19"
"2021","July-September","Himachal Pradesh","All","Male","10.4","02"
"2023","October-December","Jammu And Kashmir","15 Years And Above","Female","23.5","01"
"2019","July-September","Andhra Pradesh","All","Male","7.9","28"
"2022","January-March","Delhi","All","Male","7.3","07"
"2020","January-March","Punjab","All","Person","9.4","03"
"2020","October-December","Madhya Pradesh","15-29 Years","Female","22.1","23"
"2024","January-March","Himachal Pradesh","15-29 Years","Male","10.2","02"
"2020","July-September","Punjab","15-29 Years","Male","24.4","03"
"2022","October-December","All-India","15 Years And Above","Male","6.5","99"
"2021","April-June","Uttar Pradesh","15-29 Years","Male","22.0","09"
"2021","July-September","Odisha","15 Years And Above","Person","14.6","21"
"2023","January-March","Assam","15 Years And Above","Female","20.3","18"
"2021","January-March","All-India","15-29 Years","Male","20.9","99"
"2021","October-December","Andhra Pradesh","All","Female","8.6","28"
"2019","July-September","Jammu And Kashmir","15 Years And Above","Female","29.0","01"
"2018","July-September","Tamil Nadu","15-29 Years","Female","27.3","33"
"2019","April-June","Jharkhand","15-29 Years","Female","22.6","20"
"2018","October-December","Maharashtra","All","Person","9.6","27"
"2022","April-June","Odisha","15-29 Years","Female","44.6","21"
"2022","October-December","Madhya Pradesh","15 Years And Above","Female","6.3","23"
"2023","January-March","Bihar","All","Person","8.1","10"
"2021","July-September","Assam","15 Years And Above","Person","10.2","18"
"2019","January-March","Tamil Nadu","All","Male","7.6","33"
"2020","October-December","Assam","All","Male","6.5","18"
"2020","October-December","Maharashtra","15-29 Years","Female","35.9","27"
"2020","April-June","Bihar","15 Years And Above","Female","14.2","10"
"2019","October-December","Gujarat","All","Female","2.8","24"
"2024","January-March","Karnataka","15 Years And Above","Male","3.7","29"
"2022","July-September","Assam","15-29 Years","Person","21.0","18"
"2022","April-June","Gujarat","All","Person","3.3","24"
"2021","October-December","Telangana","All","Male","7.1","36"
"2019","July-September","Maharashtra","All","Person","5.8","27"
"2020","April-June","Bihar","15 Years And Above","Person","12.9","10"
"2019","April-June","Uttarakhand","15-29 Years","Female","45.5","05"
"2022","July-September","Odisha","All","Male","9.4","21"
"2020","April-June","Karnataka","15 Years And Above","Female","21.0","29"
"2022","January-March","Chhattisgarh","All","Female","10.3","22"
"2023","July-September","Andhra Pradesh","15-29 Years","Female","26.7","28"
"2021","October-December","Haryana","15-29 Years","Male","18.8","06"
"2022","October-December","Karnataka","15-29 Years","Male","12.3","29"
"2020","October-December","Uttar Pradesh","15 Years And Above","Male","10.4","09"
"2021","April-June","Madhya Pradesh","15-29 Years","Person","31.4","23"
"2023","October-December","Jammu And Kashmir","All","Male","5.6","01"
"2022","January-March","Gujarat","15-29 Years","Person","10.3","24"
